遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
49樂合彩,115000001,2026/01/02,10234950,409398,3755000,3,7,16,19,40,42
49樂合彩,115000002,2026/01/06,10242650,409706,6075000,2,23,33,38,39,45
49樂合彩,115000003,2026/01/09,11160100,446404,7705000,1,7,13,14,34,45
49樂合彩,115000004,2026/01/13,10857575,434303,4980000,2,10,18,19,39,49
49樂合彩,115000005,2026/01/16,11016100,440644,9618750,9,10,21,22,25,36
49樂合彩,115000006,2026/01/20,10256925,410277,3740000,2,7,26,41,44,45
49樂合彩,115000007,2026/01/23,10405250,416210,5595000,21,23,32,36,39,43
49樂合彩,115000008,2026/01/27,10118625,404745,8536250,4,11,24,25,29,30
49樂合彩,115000009,2026/01/30,10892700,435708,7836250,9,13,27,31,32,39
49樂合彩,115000010,2026/02/03,10907450,436298,3757500,6,14,32,33,39,43
49樂合彩,115000011,2026/02/06,11114275,444571,5930000,4,12,24,25,39,48
49樂合彩,115000012,2026/02/10,10816500,432660,7075000,6,16,20,21,24,35
49樂合彩,115000013,2026/02/12,6148225,245929,3622500,1,3,8,15,20,48
49樂合彩,115000014,2026/02/13,9427850,377114,4295000,9,20,25,35,39,48
49樂合彩,115000015,2026/02/14,8078775,323151,3398750,1,11,22,35,36,40
49樂合彩,115000016,2026/02/15,8790200,351608,5886250,3,6,11,18,25,28
49樂合彩,115000017,2026/02/16,8442700,337708,4363750,11,16,18,27,38,46
49樂合彩,115000018,2026/02/17,9340125,373605,6608750,6,12,24,26,37,46
49樂合彩,115000019,2026/02/18,8983225,359329,6037500,16,35,36,37,39,49
49樂合彩,115000020,2026/02/19,8922200,356888,4155000,20,28,29,31,35,41
49樂合彩,115000021,2026/02/20,9908600,396344,6463750,13,15,18,24,33,49
49樂合彩,115000022,2026/02/21,9316075,372643,5036250,12,13,17,27,41,48
49樂合彩,115000023,2026/02/22,8967900,358716,8802500,5,7,17,22,24,47
49樂合彩,115000024,2026/02/23,8605200,344208,4683750,6,10,23,27,47,48
49樂合彩,115000025,2026/02/24,9369700,374788,5963750,12,19,22,27,28,31
49樂合彩,115000026,2026/02/25,8394125,335765,3661250,7,15,22,38,45,49
49樂合彩,115000027,2026/02/26,8279425,331177,3265000,1,16,22,24,47,48
49樂合彩,115000028,2026/02/27,8695700,347828,3445000,14,18,19,34,45,47
49樂合彩,115000029,2026/02/28,7985175,319407,4157500,17,23,30,37,39,49
