遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
四星彩,115000001,2026/01/01,4466100,178644,1072000,0,8,8,2
四星彩,115000002,2026/01/02,4542300,181692,2244000,8,7,2,1
四星彩,115000003,2026/01/03,4520450,180818,2235000,8,9,0,8
四星彩,115000004,2026/01/05,5018850,200754,1715500,2,5,3,4
四星彩,115000005,2026/01/06,4361850,174474,6106500,0,1,2,2
四星彩,115000006,2026/01/07,4605250,184210,2178500,6,6,3,2
四星彩,115000007,2026/01/08,4502800,180112,2604500,2,6,1,1
四星彩,115000008,2026/01/09,4670375,186815,2309000,4,3,9,3
四星彩,115000009,2026/01/10,4822350,192894,3891500,6,7,6,6
四星彩,115000010,2026/01/12,5083050,203322,2625000,5,7,7,6
四星彩,115000011,2026/01/13,4812550,192502,2792000,7,9,2,0
四星彩,115000012,2026/01/14,4667450,186698,1787500,4,8,5,0
四星彩,115000013,2026/01/15,4558725,182349,1340000,3,3,0,4
四星彩,115000014,2026/01/16,4771325,190853,3651500,5,3,9,3
四星彩,115000015,2026/01/17,4700550,188022,6158000,2,7,3,6
四星彩,115000016,2026/01/19,4964200,198568,932500,4,5,4,0
四星彩,115000017,2026/01/20,4325050,173002,2430500,8,5,0,5
四星彩,115000018,2026/01/21,4393625,175745,3158500,4,5,3,6
四星彩,115000019,2026/01/22,4332625,173305,2924500,2,0,0,8
四星彩,115000020,2026/01/23,4539600,181584,4476500,5,2,2,3
四星彩,115000021,2026/01/24,4575700,183028,935000,4,1,4,8
四星彩,115000022,2026/01/26,4924975,196999,4245000,9,3,2,8
四星彩,115000023,2026/01/27,4305575,172223,887000,9,0,8,4
四星彩,115000024,2026/01/28,4456700,178268,3272500,3,6,3,3
四星彩,115000025,2026/01/29,4573900,182956,1589500,6,7,3,2
四星彩,115000026,2026/01/30,4626800,185072,5881000,1,2,2,4
四星彩,115000027,2026/01/31,4594750,183790,1433500,9,5,1,4
四星彩,115000028,2026/02/02,4976100,199044,3237000,5,7,1,7
四星彩,115000029,2026/02/03,4628375,185135,2094000,3,7,5,3
四星彩,115000030,2026/02/04,4967225,198689,1806500,4,8,9,1
四星彩,115000031,2026/02/05,4689625,187585,953500,7,7,8,4
四星彩,115000032,2026/02/06,4745475,189819,3246500,5,8,7,9
四星彩,115000033,2026/02/07,4817050,192682,2991500,0,5,2,9
四星彩,115000034,2026/02/09,5202725,208109,1357000,7,6,9,4
四星彩,115000035,2026/02/10,4730900,189236,3355000,7,3,3,0
四星彩,115000036,2026/02/11,4834475,193379,3068500,3,4,2,8
四星彩,115000037,2026/02/12,4877075,195083,1929500,5,5,7,3
四星彩,115000038,2026/02/13,5031550,201262,3125000,6,4,2,6
四星彩,115000039,2026/02/14,4898375,195935,2813500,1,5,3,0
四星彩,115000040,2026/02/15,3710650,148426,1543500,5,0,9,9
四星彩,115000041,2026/02/16,4747950,189918,2427500,2,4,1,7
四星彩,115000042,2026/02/17,4853625,194145,1969500,4,7,0,2
四星彩,115000043,2026/02/18,4889700,195588,2185000,3,5,9,1
四星彩,115000044,2026/02/19,4828950,193158,2294500,8,7,3,9
四星彩,115000045,2026/02/20,5069825,202793,1916000,8,1,5,2
四星彩,115000046,2026/02/21,5060150,202406,1403000,5,0,7,2
四星彩,115000047,2026/02/22,4349050,173962,872500,0,9,5,4
四星彩,115000048,2026/02/23,4746425,189857,1340000,4,2,9,3
四星彩,115000049,2026/02/24,4708400,188336,2914000,2,9,7,5
四星彩,115000050,2026/02/25,4776050,191042,2751000,9,3,1,2
四星彩,115000051,2026/02/26,4713850,188554,1248000,7,5,4,5
四星彩,115000052,2026/02/27,4394700,175788,1732500,0,5,9,1
四星彩,115000053,2026/02/28,4330425,173217,2886000,7,3,5,8
