issue,date,n1,n2,n3,n4,n5
115000053,2026-02-28,2,4,13,26,27
115000052,2026-02-27,1,22,23,37,39
115000051,2026-02-26,3,6,9,31,39
115000050,2026-02-25,5,22,28,35,36
115000049,2026-02-24,16,23,25,32,36
115000048,2026-02-23,3,10,12,27,36
115000047,2026-02-22,8,13,16,24,25
115000046,2026-02-21,1,8,19,20,25
115000045,2026-02-20,4,11,22,23,27
115000044,2026-02-19,8,15,19,25,27
115000043,2026-02-18,8,10,12,32,33
115000042,2026-02-17,6,8,11,20,21
115000041,2026-02-16,5,7,15,18,34
115000040,2026-02-15,11,13,18,22,34
115000039,2026-02-14,1,3,13,31,36
115000038,2026-02-13,4,28,31,33,34
115000037,2026-02-12,1,12,21,35,37
115000036,2026-02-11,11,15,18,29,33
115000035,2026-02-10,10,11,17,22,36
115000034,2026-02-09,16,21,25,31,35
115000033,2026-02-07,3,8,22,27,32
115000032,2026-02-06,1,6,29,32,34
115000031,2026-02-05,8,9,13,32,35
115000030,2026-02-04,8,17,22,27,28
115000029,2026-02-03,3,5,11,15,23
115000028,2026-02-02,6,8,31,37,38
115000027,2026-01-31,5,12,16,21,32
115000026,2026-01-30,16,17,29,30,36
115000025,2026-01-29,6,11,28,36,37
115000024,2026-01-28,10,11,23,24,29
115000023,2026-01-27,5,17,18,23,32
115000022,2026-01-26,6,15,23,26,30
115000021,2026-01-24,6,7,15,35,37
115000020,2026-01-23,3,11,12,21,31
115000019,2026-01-22,3,6,11,30,34
115000018,2026-01-21,4,15,23,27,38
115000017,2026-01-20,16,19,23,25,34
115000016,2026-01-19,12,16,23,24,29
115000015,2026-01-17,2,10,11,24,37
115000014,2026-01-16,18,19,22,27,29
115000013,2026-01-15,1,2,3,19,36
115000012,2026-01-14,1,2,16,33,35
115000011,2026-01-13,6,16,17,19,31
115000010,2026-01-12,3,13,18,24,30
115000009,2026-01-10,11,25,26,34,38
115000008,2026-01-09,1,12,14,22,34
115000007,2026-01-08,3,8,10,21,30
115000006,2026-01-07,5,10,14,15,28
115000005,2026-01-06,1,2,6,11,33
115000004,2026-01-05,10,16,18,34,39
115000003,2026-01-03,22,23,31,32,38
115000002,2026-01-02,17,18,25,36,39
115000001,2026-01-01,15,16,18,29,36
114000316,2025-12-31,8,10,11,26,35
114000315,2025-12-30,11,12,24,27,33
114000314,2025-12-29,5,10,13,29,37
114000313,2025-12-27,1,15,19,28,38
114000312,2025-12-26,1,10,20,27,36
114000311,2025-12-25,14,18,28,36,39
114000310,2025-12-24,2,3,14,25,30
