issue,date,n1,n2,n3,n4,n5,n6,special
115000029,2026-02-28,17,23,30,37,39,49,43
115000028,2026-02-27,14,18,19,34,45,47,48
115000027,2026-02-26,1,16,22,24,47,48,7
115000026,2026-02-25,7,15,22,38,45,49,31
115000025,2026-02-24,12,19,22,27,28,31,45
115000024,2026-02-23,6,10,23,27,47,48,30
115000023,2026-02-22,5,7,17,22,24,47,20
115000022,2026-02-21,12,13,17,27,41,48,46
115000021,2026-02-20,13,15,18,24,33,49,10
115000020,2026-02-19,20,28,29,31,35,41,6
115000019,2026-02-18,16,35,36,37,39,49,45
115000018,2026-02-17,6,12,24,26,37,46,36
115000017,2026-02-16,11,16,18,27,38,46,43
115000016,2026-02-15,3,6,11,18,25,28,35
115000015,2026-02-14,1,11,22,35,36,40,28
115000014,2026-02-13,9,20,25,35,39,48,47
115000013,2026-02-12,1,3,8,15,20,48,46
115000012,2026-02-10,6,16,20,21,24,35,13
115000011,2026-02-06,4,12,24,25,39,48,9
115000010,2026-02-03,6,14,32,33,39,43,13
115000009,2026-01-30,9,13,27,31,32,39,19
115000008,2026-01-27,4,11,24,25,29,30,8
115000007,2026-01-23,21,23,32,36,39,43,12
115000006,2026-01-20,2,7,26,41,44,45,46
115000005,2026-01-16,9,10,21,22,25,36,20
115000004,2026-01-13,2,10,18,19,39,49,24
115000003,2026-01-09,1,7,13,14,34,45,8
115000002,2026-01-06,2,23,33,38,39,45,6
115000001,2026-01-02,3,7,16,19,40,42,12
114000118,2025-12-30,5,10,15,20,24,29,34
114000117,2025-12-26,5,7,9,14,17,30,47
114000116,2025-12-23,1,3,12,33,39,41,29
114000115,2025-12-19,6,8,11,12,18,46,37
114000114,2025-12-16,6,7,15,19,24,33,46
114000113,2025-12-12,15,17,24,26,40,47,33
114000112,2025-12-09,5,10,18,26,28,44,48
114000111,2025-12-05,8,15,23,24,41,47,2
114000110,2025-12-02,14,20,32,35,42,48,28
114000109,2025-11-28,8,12,18,28,37,46,34
114000108,2025-11-25,2,10,12,20,23,24,28
114000107,2025-11-21,14,20,21,28,31,46,37
114000106,2025-11-18,8,9,10,23,24,43,45
114000105,2025-11-14,21,25,26,38,41,46,4
114000104,2025-11-11,11,16,24,42,44,47,32
114000103,2025-11-07,4,11,22,32,33,41,43
114000102,2025-11-04,16,25,27,35,47,48,14
114000101,2025-10-31,3,4,7,10,18,21,15
114000100,2025-10-28,5,8,11,12,18,39,37
114000099,2025-10-24,13,22,23,33,39,40,31
114000098,2025-10-21,14,20,25,42,44,49,12
114000097,2025-10-17,3,15,16,31,32,45,42
114000096,2025-10-14,11,16,20,31,39,41,6
114000095,2025-10-10,13,16,18,22,39,42,30
114000094,2025-10-07,2,9,16,34,42,43,33
114000093,2025-10-03,4,18,36,40,41,43,29
114000092,2025-09-30,19,20,22,32,36,42,35
114000091,2025-09-26,1,2,25,29,41,49,35
114000090,2025-09-23,5,14,22,25,27,45,3
114000089,2025-09-19,14,17,26,36,38,41,8
114000088,2025-09-16,7,17,18,22,25,47,38
114000087,2025-09-12,2,3,4,11,15,41,26
114000086,2025-09-09,12,20,25,26,40,45,34
114000085,2025-09-05,10,13,14,17,19,29,40
114000084,2025-09-02,2,6,9,19,20,30,25
114000083,2025-08-29,13,20,25,27,28,32,2
114000082,2025-08-26,3,6,22,32,35,39,27
114000081,2025-08-22,23,33,38,43,45,47,36
114000080,2025-08-19,2,23,25,33,41,46,22
114000079,2025-08-15,3,5,7,15,17,47,34
114000078,2025-08-12,6,7,15,22,37,42,36
114000077,2025-08-08,11,16,17,21,24,29,34
114000076,2025-08-05,1,20,34,36,37,40,3
114000075,2025-08-01,4,14,19,28,40,41,31
114000074,2025-07-29,2,5,14,19,36,45,43
114000073,2025-07-25,2,4,23,35,41,47,6
114000072,2025-07-22,5,17,19,26,27,39,10
114000071,2025-07-18,2,25,36,37,38,46,24
114000070,2025-07-15,32,33,41,45,46,49,10
114000069,2025-07-11,15,16,26,34,48,49,46
114000068,2025-07-08,6,8,12,14,25,35,49
114000067,2025-07-04,5,13,15,18,33,37,45
114000066,2025-07-01,8,9,21,25,33,34,2
114000065,2025-06-27,4,8,9,14,21,39,37
114000064,2025-06-24,3,8,20,37,45,49,21
114000063,2025-06-20,4,20,31,40,42,48,24
114000062,2025-06-17,13,20,21,26,31,44,28
114000061,2025-06-13,1,2,10,13,20,27,49
114000060,2025-06-10,3,5,12,16,22,48,30
114000059,2025-06-06,11,13,15,39,42,46,28
114000058,2025-06-03,9,24,32,40,41,49,27
114000057,2025-05-30,3,4,13,21,38,46,2
114000056,2025-05-27,16,17,26,29,32,40,10
114000055,2025-05-23,1,7,11,24,44,48,10
114000054,2025-05-20,2,11,15,26,29,48,31
114000053,2025-05-16,13,16,22,23,34,39,14
114000052,2025-05-13,1,23,29,41,45,49,24
114000051,2025-05-09,15,27,33,42,48,49,39
114000050,2025-05-06,5,8,9,25,30,45,31
114000049,2025-05-02,2,5,39,43,45,47,26
114000048,2025-04-29,7,11,24,26,30,42,37
114000047,2025-04-25,20,21,24,25,31,35,28
114000046,2025-04-22,1,6,14,19,35,49,8
114000045,2025-04-18,2,8,15,22,29,45,9
114000044,2025-04-15,18,28,37,41,43,46,11
114000043,2025-04-11,6,10,11,17,23,32,27
114000042,2025-04-08,10,26,33,39,45,46,19
114000041,2025-04-04,7,20,29,40,43,47,28
114000040,2025-04-01,4,16,18,29,35,37,33
114000039,2025-03-28,1,7,11,15,27,30,42
114000038,2025-03-25,17,24,40,41,46,48,27
114000037,2025-03-21,13,25,29,40,46,47,22
114000036,2025-03-18,7,8,13,17,29,36,18
114000035,2025-03-14,6,7,13,17,21,23,48
